Order_ID,Customer_ID,Product_ID,Warehouse_ID,Order_Date,Ship_Date,Delivery_Date,Shipping_Mode,Quantity,Sales,Profit,Delivery_Status
O00235,C0265,P109,W04,2025-10-23,2025-10-24,2025-10-26,Express,2,12711.48,3155.48,On Time
O00236,C0327,P075,W02,2024-10-02,2024-10-03,2024-10-08,Standard,1,5187.67,1768.67,On Time
O00237,C0096,P137,W06,2025-09-29,2025-09-30,2025-10-06,Standard,1,1091.64,396.64,Late
O00238,C0176,P127,W04,2025-03-24,2025-03-26,2025-04-01,Standard,2,13130.7,4550.7,Late
O00239,C0137,P038,W01,2025-01-15,2025-01-16,2025-01-17,Same Day,1,5731.4,1620.4,On Time
O00240,C0395,P064,W01,2024-07-15,2024-07-16,2024-07-18,Express,4,15438.68,6302.68,On Time
O00241,C0200,P054,W02,2024-07-22,2024-07-23,2024-07-24,Same Day,4,15775.28,3123.28,On Time
O00242,C0102,P124,W09,2024-02-13,2024-02-15,2024-02-16,Same Day,3,23138.01,8186.01,On Time
O00243,C0300,P043,W07,2024-08-11,2024-08-11,2024-08-16,Standard,3,7924.74,1519.74,On Time
O00244,C0395,P040,W08,2024-02-13,2024-02-15,2024-02-16,Same Day,3,19128.15,7551.15,On Time
O00245,C0406,P040,W01,2025-12-03,2025-12-05,2025-12-10,Express,5,31880.25,12585.25,Late
O00246,C0184,P006,W08,2025-07-25,2025-07-27,2025-07-29,Express,4,12639.56,2323.56,On Time
O00247,C0179,P048,W08,2024-10-28,2024-10-30,2024-10-31,Same Day,5,17699.8,7724.8,On Time
O00248,C0420,P116,W02,2025-09-05,2025-09-07,2025-09-12,Standard,3,14729.43,4775.43,On Time
O00249,C0123,P094,W03,2025-10-15,2025-10-17,2025-10-19,Express,5,12872.6,4702.6,On Time
O00250,C0314,P142,W09,2025-07-05,2025-07-06,2025-07-11,Standard,2,1020.9,340.9,On Time
O00251,C0104,P046,W02,2024-04-23,2024-04-23,2024-04-25,Same Day,1,4434.14,1687.14,Late
O00252,C0311,P094,W10,2025-06-22,2025-06-24,2025-06-25,Same Day,2,5149.04,1881.04,On Time
O00253,C0286,P016,W08,2025-11-02,2025-11-03,2025-11-08,Standard,3,1291.35,565.35,On Time
